Rel,Year,ID,Status,Group,Album,Comments
68,69,001,VCR,Iron Butterfly,Inna Gadda da Vida,
69,69,002,CC,Cream,Best Of,
69,69,003,CD,Doors,Soft Parade,
68,69,004,STEVE,Iron Butterfly,Heavy,
69,69,005,STEVE,Iron Butterfly,Ball,
67,69,006,CC,Doors,The Doors,
69,69,007,MISS,Guess Who,Wheatfield Soul,
69,69,008,MISS,Guess Who,Canned Wheat,
69,69,009,GONE,Stones,Thru the Past Darkly,
68,69,010,CD,Doors,Waiting For the Sun,
67,69,011,CD,Doors,Strange Days,
69,69,012,GONE,Hendrix,Smash Hits,
69,69,013,LITZ,CSN,Crosby Stills and Nash,
69,69,014,GONE,Various,Easy Rider,
69,69,015,GONE,Sly Stone,Stand,
67,69,016,SOLD,Hendrix,Axis Bold as Love,
69,69,017,KEEP,NYRRE,Faithful Friends,
66,69,018,CC,Stones,Aftermath,
67,69,019,CC,Stones,Satanic Majesty,
67,69,020,SOLD,Stones,Flowers,
70,69,021,CD,Doors,Morrison Hotel,
69,69,022,CD,Who,Tommy,2
69,69,024,CC,Stones,Let it Bleed,
66,69,025,SOLD,Stones,High Tide and Green Grass,
66,69,026,CC,Cream,Fresh Cream,
67,69,027,CC,Cream,Disraeli Gears,
68,69,028,SOLD,Cream,Wheels of Fire,2
69,69,030,SOLD,Cream,Goodbye,
67,69,031,CD,Hendrix,Are You Experienced,
70,69,032,KEEP,CSNY,Deja Vu,
68,69,033,CD,Hendrix,Electric Ladyland,2
33,69,035,GONE,Steppenwolf,Monster,
33,69,036,SOLD,Steppenwolf,Early,
33,69,037,SOLD,CSNY,Live at Felt Forum,2
68,70,039,KEEP,NYRRE,NY Rock and Roll Ensemble,
33,70,040,KEEP,Moody Blues,Threshold of a Dream,
33,70,041,KEEP,Moody Blues,Lost Chord,
33,70,042,KEEP,Moody Blues,Childrens Children,
33,70,043,KEEP,Moody Blues,Days of Future Passed,
69,70,044,CD,Blind Faith,Blind Faith,
67,70,045,CC,Who,Sell Out,
33,70,046,KEEP,King Crimson,Crimson King,
33,70,047,MISS,Joan Baez,One Day at a Time,
33,70,048,SOLD,Soundtrack,Woodstock,3
70,70,051,SOLD,Doors,Absolutely Live,2
70,70,053,SOLD,Cream,Live Cream Vol 1,
70,70,054,SOLD,Hendrix,Band of Gypsys,
33,70,055,KEEP,Moody Blues,Question of Balance,
69,70,056,CC,Stones,Beggars Banquet,
33,70,057,KEEP,King Crimson,Wake of Poseidon,
69,70,058,SOLD,Neil Young,Neil Young,
69,70,059,SOLD,Neil Young,Crazy Horse,
70,70,060,SOLD,Neil Young,After the Goldrush,
71,70,061,KEEP,NYRRE,Roll Over,
70,70,062,KEEP,NYRRE,Reflections,
66,70,063,LITZ,Buffalo Springfield,Buffalo Springfield,
67,70,064,LITZ,Buffalo Springfield,Again,
68,70,065,LITZ,Buffalo Springfield,Last Time Around,
70,70,066,LITZ,Steve Stills,Steve Stills,
67,70,067,CD,Bob Dylan,Greatest Hits V1,
70,70,068,CD,Byrds,Untitled,2
70,70,070,SOLD,Stones,Get Your Ya Yas Out,
71,71,071,CC,Stones,Sticky Fingers,
71,71,072,CC,Doors,LA Woman,
71,71,073,SOLD,CSNY,Four Way Street,2
33,71,075,KEEP,Hendrix,Cry of Love,
70,71,076,KEEP,Clapton,Layla,2
70,71,078,LITZ,Band,Stage Fright,
71,71,079,CC,Jethro Tull,Aqualung,
71,71,080,CD,Allman Brothers,Fillmore East,2
70,71,082,CD,Who,Live at Leeds,
71,71,083,SOLD,Who,Whos Next,
71,71,084,STEVE,BB King,Cook County Jail,
33,71,085,GONE,Rod Stewart,Every Picture,
33,71,086,SOLD,Rod Stewart,Rod Stewart,
71,71,087,BLUES,John Mayall,Back to the Roots,2
33,71,089,STEVE,Grin,Grin,
70,71,090,SOLD,Clapton,Eric Clapton,
65,71,091,BLUES,Various,Whats Shaking,
33,71,092,SOLD,Rod Stewart,Gasoline Alley,
33,71,093,SOLD,Rod Stewart,Faces Long Player,
69,71,094,CC,Band,The Band,
68,71,095,STEVE,John Mayall,Diary of a Band Vol 1,
68,71,096,BLUES,John Mayall,Bare Wires,
70,72,097,SOLD,Stones,Liver Than Youll Ever Be,
33,72,098,SOLD,John Mayall,Jamming With Edward,
71,72,100,BLUES,Fleetwood Mac,Black Magic Woman,2
70,72,101,SOLD,CSNY,Wooden Nickel,
72,72,102,LP,Steve Winwood,Winwood,2
69,72,104,BLUES,Fleetwood Mac,In Chicago,2
71,72,106,KEEP,David Crosby,Remember My Name,
72,72,107,SOLD,Neil Young,Harvest,
69,72,108,CD,Allman Brothers,Allman Brothers Band,
70,72,109,CD,Allman Brothers,Idlewild South,
72,72,110,CD,Allman Brothers,Eat a Peach,2
71,72,112,SOLD,Hendrix,Rainbow Bridge,
71,72,113,LITZ,Steve Stills,Steve Stills Two,
72,72,114,GONE,Cream,Live Cream Vol 2,
33,72,115,LITZ,Graham Nash,Songs for Beginners,
33,72,116,KEEP,Moody Blues,EGBDF,
33,72,117,CD,Roy Buchanan,Snake Stretchers,
66,72,118,BLUES,John Mayall,With Eric Clapton,
71,72,119,BLUES,John Mayall,Thru the Years,2
72,72,121,SOLD,Clapton,History of,2
33,72,123,LP,Clapton,Guitar Boogie,
66,72,124,BLUES,Clapton,With Sonny Boy ,
68,72,125,NEXT,Allman Brothers,Duane and Gregg ,
72,72,126,CC,Stones,Exile on Main Street,2
33,72,128,SOLD,Rod Stewart,First Steps,
68,72,129,STEVE,John Mayall,Diary of a Band Vol 2,
33,72,130,SOLD,Dave Mason,Alone Together,
33,72,131,SOLD,Dave Mason,Headkeeper,
33,72,132,BLUES,Howling Wolf,London Sessions,
33,72,133,LP,Neil Young,Bootleg,2
64,72,135,SOLD,Stones,The Rolling Stones,
64,72,136,SOLD,Stones,12x5,
65,72,137,CC,Stones,Now,
65,72,138,SOLD,Stones,Out of Our Heads,
65,72,139,SOLD,Stones,Decembers Children,
67,72,140,SOLD,Stones,Between the Buttons,
66,72,141,SOLD,Stones,Got Live If You Want It,
33,72,142,NEXT,Soundtrack,Performance,
33,72,143,SOLD,Rod Stewart,Nod as Good as Wink,
33,72,144,SOLD,Rod Stewart,Never a Dull Moment,
33,72,145,LITZ,Ry Cooder,Into the Purple Valley,
33,72,146,GONE,Mountain,Climbing,
70,72,147,SOLD,George Harrison,All Things Must Pass,3
65,72,150,CD,Bob Dylan,Bring it All Back Home,
71,72,151,CD,Bob Dylan,Greatest Hits V2,2
70,72,153,LP,Traffic,John Barleycorn,
33,72,154,BLUES,Otis Spann,Biggest Thing Since Colossus,
67,72,155,BLUES,John Mayall,A Hard Road,2
68,72,157,KEEP,Brewer and Shipley,Down in LA,
69,72,158,KEEP,Brewer and Shipley,Weeds,
70,72,159,KEEP,Brewer and Shipley,Tarkio,
71,72,160,KEEP,Brewer and Shipley,Shake Off the Demon,
67,72,161,CC,Byrds,Greatest Hits V1,
69,72,162,BLUES,John Mayall,Looking Back,
33,72,163,STEVE,John Mayall,Raw Blues,
72,73,164,SOLD,Stones,More Hot Rocks,2
70,73,166,BLUES,John Mayall,Empty Rooms,
65,73,167,CD,Bob Dylan,Highway 61,
71,73,168,LP,George Harrison,Concert for Bangladesh,3
33,73,171,LP,Various,Woodstock 2,2
33,73,173,LITZ,CSNY,Crosby and Nash,
72,73,174,LITZ,Steve Stills,Manassas,2
33,73,176,SOLD,Roy Buchanan,Roy Buchanan,
71,73,177,STEVE,BB King,In London,
33,73,178,LP,Dirt Band,With the Circle Be Unbroken,3
73,73,182,LITZ,Traffic,On The Road,
71,73,183,LITZ,Traffic,Low Spark,
73,73,184,SOLD,Clapton,Rainbow Concert,
64,73,185,SOLD,Clapton,Five Live Yardbirds,
73,73,186,SOLD,Clapton,In Concert,2
33,73,188,LP,Leo Kottke,6 and 12 String Guitar,
33,73,189,LP,Leo Kottke,Greenhouse,
72,73,190,CC,Band,Rock of Ages,2
73,73,192,SOLD,Allman Brothers,Bothers and Sisters,
72,73,193,CD,Garcia,Garcia,
71,73,194,SOLD,Dead,Skull and Roses,2
69,73,196,CD,Dead,Live Dead,2
72,73,198,CD,Dead,Europe 72,3
67,73,201,SOLD,Dead,The Grateful Dead,
68,73,202,CC,Dead,Anthem Extended,
68,73,202,CD,Dead,Anthem of the Sun,
69,73,203,CD,Dead,Aoxomoxoa,
70,73,204,SOLD,Dead,Workingmans Dead,
70,73,205,CD,Dead,American Beauty,
70,73,206,NEXT,Dead,Vintage,
71,73,207,NEXT,Dead,Historic Dead,
73,73,208,SOLD,Dead,Bears Choice,
73,73,209,CC,Dead,Wake of the Flood,
72,73,210,CD,Bob Weir,Ace,
33,73,211,NEXT,Mickey Hart,Rolling Thunder,
71,73,212,KEEP,Garcia,Hooteroll,
73,73,213,KEEP,Garcia,Fire Up,
73,73,214,KEEP,Garcia,Live at Keystone,2
