:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
Issued,Num,MT,N,Type,Artist,Album,Comments,
0,0,M3,1,IRISH,2002,Celtic Fairy Dream,,
0,0,CD,1,ROCK1,A Perfect Circle,Emotive,,
0,0,M3,1,JAZZ2,Ahmad Jamal,Ahmads Blues,,
0,0,MC,1,JAZZ2,Ahmad Jamal,Free Flight,,
0,0,MC,1,JAZZ2,Ahmad Jamal,Pittsburgh,,
0,0,MC,1,JAZZ2,Ahmad Jamal,Poinciana,,
920000,0,MC,1,JAZZ2,Ahmad Jamal,Live in Paris 1992,,
0,0,M3,1,IRISH,Aine Minogue,Celtic Lamentations,,
0,0,M3,1,BEATL,Al DiMeola,All Your Life,,
0,0,MC,1,JAZZ3,Al DiMeola,Consequence of Chaos,,
0,0,MC,1,JAZZ3,Al DiMeola,Flesh on Flesh,DUP,
0,0,MC,1,JAZZ3,Al DiMeola,Plays Piazzola,,
0,0,CC,1,JAZZ3,Al DiMeola,World Sinfonia,,
680000,246,NX,1,BLUES,Al Kooper,Super Session,,
690000,245,NX,1,BLUES,Al Kooper,Kooper Session,,
690000,243,NX,2,BLUES,Al Kooper,Super Session Live,,
0,0,M3,1,FOLK1,Alan Bibey,Mandolin Chronicles,,
0,0,MC,1,FOLK1,Alan Jackson,The Bluegrass Album,,
0,0,MC,1,HARPS,Alan Stivell,Renaissance of the Celtic Harp,,
0,0,MC,1,ROCK1,Albert Lee,Heartbreak Hill,,
650000,310,LP,1,BLUES,Alec Seward,Creeping Blues,,
0,0,MC,1,GYPSY,Alexandria Kleztet,Delusions Of Klezmer,,
740000,375,LP,1,JAZZ1,Alice Coltrane,Illuminations,,
750000,413,LP,1,JAZZ1,Alice Coltrane,Eternity,,
0,0,MC,1,FOLK1,Alison Brown,Fair Weather,,
0,0,MC,1,FOLK4,Alison Krauss,Every Time I Say Goodbye,,
0,0,MC,1,FOLK4,Alison Krauss,Forget About It,,
0,0,MC,1,FOLK4,Alison Krauss,I Know Who Holds Tomorrow,+Cox Family,
0,0,MC,1,FOLK4,Alison Krauss,Ive Got That Old Feeling,,
0,0,MC,2,FOLK4,Alison Krauss,Live,,
0,0,MC,1,FOLK4,Alison Krauss,Lonely Runs Both Ways,,
0,0,MC,1,FOLK4,Alison Krauss,New Favorite,,
0,0,MC,1,FOLK4,Alison Krauss,Paper Airplane,,
0,0,MC,1,FOLK4,Alison Krauss,So Long So Wrong,,
0,0,M3,1,FOLK4,Alison Krauss,Windy City,,
0,0,M3,3,BLUER,Alligator,50 Years Of Houserocking,,
0,0,MP,1,ROCK2,Allman Brothers,Hitting the Note,,
0,0,M3,2,ROCK2,Allman Brothers,One Way Out,,
0,0,MD,1,ROCK2,Allman Brothers,The Epic Years,,
687205,125,NX,1,ROCK2,Allman Brothers,Duane and Gregg,31st of Feb Demo,
691104,108,MD,1,ROCK2,Allman Brothers,Allman Brothers Band,,
700703,0,M3,2,ROCK2,Allman Brothers,Atlanta Pop Festival,,
700923,109,MD,1,ROCK2,Allman Brothers,Idlewild South,,
710706,80,MD,2,ROCK2,Allman Brothers,Fillmore East,,
720212,110,MD,1,ROCK2,Allman Brothers,Eat a Peach,,
730326,0,MC,2,ROCK2,Allman Brothers,Beacon Theatre,,
730899,192,XX,1,ROCK2,Allman Brothers,Brothers and Sisters,,
730899,192,MC,1,ROCK2,Allman Brothers,Brothers and Sisters + Revolver,,
911022,0,MD,1,ROCK2,Allman Brothers,Decade of Hits 1969-1979,,
0,0,MD,1,ROCK1,America,Greatest Hits,,
0,0,CD,1,ROCK1,Amy Winehouse,Back to Black,,
0,0,CD,1,ROCK1,Amy Winehouse,Frank,,
0,0,CD,1,ROCK1,Amy Winehouse,Lioness,,
0,0,MC,1,HARPS,Andreas Vollenweider,Kryptos,,
0,0,MC,1,HARPS,Andreas Vollenweider,Magic Harp,,
0,0,M3,1,CLASS,Andres Segovia,Art of Segovia,,
0,297,LP,1,BLUES,Andrew Odom,Andrew Odom,,
0,0,MC,1,FOLK1,Andy Statman,East Flatbush Blues,,
839999,497,LP,1,FOLK1,Andy Statman,Mandolin Abstractions,+Grisman,
839999,497,MC,1,FOLK1,Andy Statman,Mandolin Abstractions,+Grisman,
0,0,MC,1,INDIA,Anoushka Shankar,Live at Carnegie Hall,,
0,0,MC,1,INDIA,Anoushka Shankar,Traces of You,,
0,0,M3,1,CLASS,Arditti-Quartet,Spiral-Of-Light,,
0,0,MC,1,JAZZ1,Art Blakey,Mission Eternal V2,+Cedar Walton,
0,0,MC,1,JAZZ1,Art Farmer,Real Time,Jazztet,
0,0,MC,2,JAZZ2,Art Tatum,20th Century Genius,,
